CensusId,State,County,TotalPop,Total Pop,Men,Women,White,Black,Native,Hispanic,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Child Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,Other Transp,WorkAtHome,Commute,Employed,PrivateWork,Public Work,SelfEmployed,FamilyWork,Unemployment
27019,Minnesota,Carver,95715,95715,47387,48328,90,1.1,0.1,4.1,2.5,0,66281,86323,2160,40322,1163,4.4,4.4,45,14.3,24.6,6.8,9.4,82.4,6.6,1.8,1.3,0.9,6.9,25.6,52573,84.7,9.6,5.5,0.2,3.8
27141,Minnesota,Sherburne,90401,90401,46062,44339,92.5,1.9,0.4,2.4,1.2,0,64225,74170,2579,29923,811,7.9,9.6,34,16.1,23.4,10.7,15.8,83,9.2,1.4,0.7,1.4,4.3,32.3,47444,83.9,11.2,4.7,0.2,5.2
27013,Minnesota,Blue Earth,65125,65125,32760,32365,89.7,3,0.4,2.9,2,0,51011,50061,1511,26440,893,19.1,14.6,32.5,20,25,7.7,14.8,80.8,8,1.2,4.5,1,4.5,17,36492,81,13.8,5.1,0.1,4.9
27131,Minnesota,Rice,64886,64886,33038,31848,84.4,3.8,0.5,7.8,2.3,0.1,47359,59598,2035,26660,727,11.4,16,35.9,17.9,20.9,9.9,15.4,72.5,7.5,0.7,4.1,2.1,13.2,22.7,33503,82.4,10.8,6.5,0.3,5.6
27035,Minnesota,Crow Wing,63048,63048,31459,31589,95.5,0.6,1.1,1.3,0.5,0,48487,49435,1589,27936,878,11.3,14.4,31.7,20,26,10.1,12.2,82.4,8.5,0.4,1.5,1.4,5.8,21.6,29263,81.1,11.3,7.4,0.2,5.7
27027,Minnesota,Clay,60879,60879,30072,30807,89.7,1.9,1.1,4.1,1.1,0,45728,57965,2431,25896,544,12.7,12.5,34.4,19.3,23.9,9.6,12.9,78.7,8.2,0.9,5.4,1.6,5.2,18.6,33104,80.6,13.6,5.7,0.1,4.3
27111,Minnesota,Otter Tail,57511,57511,28840,28671,93.7,1.2,0.3,3,0.6,0,44411,52365,1322,28066,652,10,12.3,34.5,16.4,20.1,12,17,77.2,10.8,0.9,4,1.5,5.5,20.8,27662,77.5,13.1,9.2,0.3,4.4
27025,Minnesota,Chisago,53834,53834,27832,26002,94.2,1.1,0.4,1.8,0.8,0,40552,71001,1943,29553,760,5.5,3.5,33.5,16.4,23.5,12.3,14.2,82.5,9.2,1,1.2,1.6,4.4,32.6,27553,81.4,13.3,5.2,0.2,5.5
27169,Minnesota,Winona,51213,51213,25183,26030,92,1.4,0.4,2.7,2.6,0,40797,50547,1745,24660,516,14.7,11.9,32.8,18.3,22.9,7.5,18.6,76.6,8.3,1.9,6.6,2,4.6,17.5,28307,82.3,11.4,6,0.3,6.2
27049,Minnesota,Goodhue,46377,46377,23098,23279,92.7,1.1,1.1,3.1,0.6,0,34948,57062,2249,30236,1122,11.2,17.1,34.5,17,20.3,10.7,17.5,80.6,8.3,1,3.8,1.2,5.1,23.5,23662,81.2,10.7,8,0.2,5.3
27007,Minnesota,Beltrami,45434,45434,22740,22694,73.4,0.8,20,1.9,0.9,0.1,33584,44757,2090,22524,984,18.8,23.6,31.4,22.9,24.4,9.5,11.7,75.8,11.2,2,3.2,1.3,6.5,20.2,20579,66.8,26.9,6.2,0.1,10.6
27061,Minnesota,Itasca,45354,45354,22949,22405,92.3,0.5,3.2,1.2,0.4,0.1,35560,47761,1493,25219,640,13.6,20.8,31.2,20.1,21.8,12.7,14.2,80.7,9.9,1,3.3,0.9,4.3,22.5,19970,77.5,15.7,6.3,0.5,7.1
27067,Minnesota,Kandiyohi,42444,42444,21336,21108,83.7,2.8,0.3,11.6,0.6,0,31010,52632,1266,27560,814,11.7,17.6,32.8,17,20.7,12.8,16.8,84.2,7.9,1,1.9,1.3,3.8,17.3,21757,78.1,14.3,7.1,0.5,4.8
27099,Minnesota,Mower,39227,39227,19579,19648,82.4,3,0.1,10.9,2,0.1,27943,49427,1840,26265,1099,14,18.8,28.9,16.8,21,9.6,23.7,78.4,10.6,1.7,3.1,2.2,4,17.2,19166,83.5,10.2,6.3,0.1,6.5
27009,Minnesota,Benton,39221,39221,19500,19721,92.7,2.3,0.3,1.9,1.1,0,29110,52178,2429,25341,656,14.9,18.7,29.5,17.4,21.3,11.5,20.3,81.9,9.1,1,1.5,1.6,4.9,23.3,20104,82.9,11.2,5.7,0.2,6.7
27059,Minnesota,Isanti,38296,38296,19300,18996,94.5,0.6,0.6,1.8,0.7,0,28594,59865,1971,27152,1063,7.4,7,28.4,16.3,25.5,12.6,17.2,80.8,9.9,1.3,1.4,1.4,5.1,34.1,19504,83.2,11.3,5.4,0.1,7.3
27041,Minnesota,Douglas,36620,36620,18331,18289,96.6,0.6,0.2,1.3,0.2,0,28700,54531,2085,29953,1253,9.6,10.4,33.2,16.9,24.2,9.2,16.5,83.2,7.4,0.4,2.5,1.2,5.4,18.1,18975,79,13.1,7.7,0.2,4.5
27147,Minnesota,Steele,36523,36523,17915,18608,87.9,2.5,0.1,7.1,0.9,0,26647,57858,2118,28087,949,10.4,15.9,31.7,15.7,25.7,8.3,18.6,86.3,7.2,0.6,1.6,1.1,3.3,17.9,18434,84,10.3,5.7,0.1,4.9
27085,Minnesota,McLeod,36046,36046,17888,18158,92.4,0.4,0.2,5.3,0.6,0,26700,56128,2339,27612,793,8.1,11.8,30.5,17.3,20.7,10.1,21.4,82.7,8.9,0.3,2.9,1.5,3.7,22.8,18957,85.5,8.5,5.9,0.1,4.5
27017,Minnesota,Carlton,35443,35443,18256,17187,88.6,1.2,5.4,1.6,0.6,0,27070,53227,2135,24584,630,13.7,15.7,30.9,23.3,20.1,10.2,15.5,82.9,8.3,0.3,2.9,0.9,4.7,20.8,16478,72.8,20.4,6.4,0.3,5.4
27005,Minnesota,Becker,33138,33138,16601,16537,86.8,0.5,7,1.8,0.5,0,24673,52038,1729,26399,623,12.8,17,32.7,17.5,20.2,13.7,15.9,77.8,10.8,0.4,2.9,1.5,6.6,22.8,15929,74.3,16.4,9,0.3,3.5
27103,Minnesota,Nicollet,33086,33086,16492,16594,90.6,2.4,0.2,4.1,1.5,0,25139,58640,2676,28118,1123,12.4,10.8,38.5,17,23.4,8,13.2,77.5,6.8,0.9,4.5,1.3,9,16.6,18672,78.3,15.5,6,0.2,4
